,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2019_Mouse,Huntington disease,16/192,2.719366903244597e-06,0.00031184143075833827,0,0,4.422191843244475,56.67088137269774,HDAC2;NDUFA10;CLTC;ATP5J;ATP5H;AP2B1;ATP5G1;ATP5B;NDUFS7;POLR2A;UQCRQ;TRP53;POLR2E;TBPL1;TFAM;VDAC1
1,KEGG_2019_Mouse,Ribosome,15/170,2.747501592584478e-06,0.00031184143075833827,0,0,4.700806451612904,60.192973750384574,RPL41;RPS7;RPL23;MRPL27;RPL23A;MRPL12;MRPL10;RPS26;MRPL30;RPS29;RPL37A;RPL38;RPL27;RPS27A;RPS12
2,KEGG_2019_Mouse,Cell cycle,12/123,9.818582936551025e-06,0.0007429394421990275,0,0,5.224062772449869,60.23988895287432,YWHAE;CCNB1;HDAC2;PTTG1;YWHAQ;CDK4;TRP53;CDC27;ORC2;MDM2;CDK1;SKP1A
3,KEGG_2019_Mouse,Spliceosome,12/132,2.015056173484574e-05,0.0011435443784524,0,0,4.830024813895782,52.22357292955973,EFTUD2;DDX5;LSM7;SNW1;SF3B6;EIF4A3;SRSF2;DDX42;SNRPE;SNRPD3;SNRPF;SF3B1
4,KEGG_2019_Mouse,RNA transport,13/167,4.7723515145724896e-05,0.0021666475876159,0,0,4.080296569102539,40.59930299849052,EIF4A1;EIF5B;NUP107;EIF4A3;PYM1;EIF1;XPO1;XPOT;TPR;GEMIN5;EIF4EBP2;KPNB1;NUP37
5,KEGG_2019_Mouse,Ubiquitin mediated proteolysis,11/138,0.0001463692637513416,0.0049674301045261,0,0,4.171630155141498,36.83289920529293,UBE2F;HERC4;COP1;CDC34;CDC27;UBE2N;MDM2;UBE2G1;TRIM37;ELOC;SKP1A
6,KEGG_2019_Mouse,Oocyte meiosis,10/116,0.00015318066401622592,0.0049674301045261,0,0,4.53738644304682,39.85591484930154,YWHAE;PPP2CA;CCNB1;PTTG1;YWHAQ;PPP2R5E;CDC27;CDK1;FBXO5;SKP1A
7,KEGG_2019_Mouse,Chronic myeloid leukemia,8/76,0.0001766371700542165,0.0050120797002883,0,0,5.641566700390229,48.75110678697608,STAT5B;HDAC2;MAP2K2;CDK4;TRP53;MDM2;GRB2;CRK
8,KEGG_2019_Mouse,Mitophagy,7/63,0.0003201891844978097,0.0073734243172434,0,0,5.983149509803922,48.14400208210288,BECN1;TBK1;RHOT1;UBB;TRP53;SQSTM1;TBC1D15
9,KEGG_2019_Mouse,ErbB signaling pathway,8/84,0.00035367446258693133,0.0073734243172434,0,0,5.04564851933273,40.09844321040992,MAP2K4;STAT5B;MAP2K2;RPS6KB1;ABL2;PRKCA;GRB2;CRK
