,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2019_Mouse,PI3K-Akt signaling pathway,21/357,4.001018553537541e-05,0.0094137946397989,0,0,2.9029287439613527,29.396149407872883,ATF2;LAMA5;FLT1;RPS6;LPAR1;TSC1;RELN;CDK6;CCNE2;RHEB;GNB1;KDR;GNB4;PKN2;ITGAV;ITGA6;RAC1;TEK;EIF4E;JAK1;MCL1
1,KEGG_2019_Mouse,Cell cycle,11/123,7.877652418241765e-05,0.0094137946397989,0,0,4.506043632075472,42.57713549684343,CDC20;CDK6;PCNA;CCNE2;ORC1;E2F1;E2F2;E2F5;CDC14A;ANAPC1;CDC25B
2,KEGG_2019_Mouse,Focal adhesion,14/199,0.00012249183540051536,0.009758516220241,0,0,3.483597611863645,31.37838767356408,VAV3;LAMA5;FLT1;ACTB;VAV2;CDC42;RELN;KDR;RAPGEF1;ITGAV;ITGA6;RAC1;TLN1;MYL9
3,KEGG_2019_Mouse,Nitrogen metabolism,4/17,0.000419505850395762,0.023716931714852,0,0,13.958236658932714,108.54529337727315,CAR2;CAR1;CAR14;CAR8
4,KEGG_2019_Mouse,Human cytomegalovirus infection,15/255,0.0004961701195575742,0.023716931714852,0,0,2.8757440476190474,21.880362312357494,PDIA3;ATF2;TSC1;GNAI1;CDK6;RHEB;GNB1;GNA12;GNB4;E2F1;E2F2;ITGAV;RAC1;B2M;JAK1
5,KEGG_2019_Mouse,Pathways in cancer,24/535,0.0007130894436304304,0.0259990685376299,0,0,2.1773822617738228,15.777102183702262,LAMA5;TPM3;NCOA3;LEF1;LPAR1;SLC2A1;GNAI1;TGFBR1;CDC42;BMP2;CDK6;CCNE2;GNB1;GNA12;E2F1;GNB4;E2F2;ITGA6;ITGAV;RAC1;GSTM5;JAK1;NFE2L2;RUNX1T1
6,KEGG_2019_Mouse,Cellular senescence,12/185,0.0007614789948259819,0.0259990685376299,0,0,3.179928668060509,22.832676363441177,CDK6;CCNE2;RBBP4;RHEB;E2F1;E2F2;TSC1;TRPM7;MYBL2;E2F5;PPID;TGFBR1
7,KEGG_2019_Mouse,Adherens junction,7/72,0.0009569673921675352,0.0285894008410051,0,0,4.906542056074766,34.10901075731354,CDC42;LEF1;RAC1;WASF2;PTPRF;ACTB;TGFBR1
8,KEGG_2019_Mouse,Pancreatic cancer,7/75,0.0012196493427778,0.0323884658804328,0,0,4.689355415063222,31.461785298985344,CDC42;CDK6;E2F1;E2F2;RAC1;TGFBR1;JAK1
9,KEGG_2019_Mouse,ECM-receptor interaction,7/83,0.0022003085090203,0.052587373365587,0,0,4.194017461878997,25.663854233529968,LAMA5;RELN;ITGAV;ITGA6;AGRN;HSPG2;CD44
10,KEGG_2019_Mouse,Fc gamma R-mediated phagocytosis,7/87,0.0028762563270645,0.0624932056516758,0,0,3.9834988317757007,23.30851014750278,VAV3;CDC42;MARCKSL1;RAC1;PLPP3;WASF2;VAV2
11,KEGG_2019_Mouse,Insulin signaling pathway,9/139,0.0034188217727065,0.0650795852131129,0,0,3.158450704225352,17.93513376921898,PRKCI;PKLR;RHEB;RPS6;RAPGEF1;TSC1;PRKAB1;EIF4E;PTPRF
12,KEGG_2019_Mouse,Leukocyte transendothelial migration,8/115,0.0036663302342426,0.0650795852131129,0,0,3.407034515966644,19.108571314803957,VAV3;CDC42;PTPN11;RAC1;MYL9;ACTB;GNAI1;VAV2
13,KEGG_2019_Mouse,Small cell lung cancer,7/92,0.0039325664986446,0.0650795852131129,0,0,3.748213304013194,20.759340749700456,LAMA5;CDK6;CCNE2;E2F1;E2F2;ITGAV;ITGA6
14,KEGG_2019_Mouse,Hepatocellular carcinoma,10/171,0.0043221471689818,0.0650795852131129,0,0,2.8358056265984657,15.43813425453055,CDK6;ACTL6A;LEF1;E2F1;E2F2;ARID1A;ACTB;TGFBR1;GSTM5;NFE2L2
15,KEGG_2019_Mouse,cGMP-PKG signaling pathway,10/172,0.0045026148260658,0.0650795852131129,0,0,2.818155410312273,15.226766982412965,ATF2;GUCY1A1;GNA12;ATP2A2;GTF2IRD1;PDE5A;MYL9;MEF2D;GNAI1;GTF2I
16,KEGG_2019_Mouse,Thermogenesis,12/231,0.0048472601649465,0.0650795852131129,0,0,2.5060397033582693,13.355541762901986,ATF2;KDM1A;RHEB;NDUFAF4;RPS6KA1;ACTL6A;RPS6;COX17;TSC1;ARID1A;PRKAB1;ACTB
17,KEGG_2019_Mouse,beta-Alanine metabolism,4/32,0.0049013913549624,0.0650795852131129,0,0,6.475638051044084,34.43897246919874,SMOX;GAD2;ACADM;SRM
18,KEGG_2019_Mouse,Rap1 signaling pathway,11/209,0.0062261175908015,0.0783180054842931,0,0,2.537604821802935,12.8885007773999,CDC42;PRKCI;FLT1;KDR;LPAR1;RAPGEF1;RAC1;TEK;TLN1;ACTB;GNAI1
19,KEGG_2019_Mouse,Regulation of actin cytoskeleton,11/217,0.008161499860365,0.0975299233313621,0,0,2.4380495511998537,11.72294026571623,VAV3;CDC42;GNA12;LPAR1;ITGAV;ITGA6;RAC1;MYL9;WASF2;ACTB;VAV2
20,KEGG_2019_Mouse,Protein processing in endoplasmic reticulum,9/163,0.0094989588742474,0.1081071986164348,0,0,2.662932138284251,12.400138105182068,PDIA3;DNAJA1;HSPH1;HSPA5;UBE2D3;SSR3;MAN1C1;RRBP1;NFE2L2
21,KEGG_2019_Mouse,Insulin resistance,7/110,0.0102665564174472,0.1110396849796441,0,0,3.0903275564830777,14.150188410794764,RPS6KA1;SLC2A1;PRKCQ;TRIB3;PTPN11;PRKAB1;PTPRF
22,KEGG_2019_Mouse,Apelin signaling pathway,8/138,0.0107226744736351,0.1110396849796441,0,0,2.800936768149883,12.703353689203064,RPS6;GNB1;APLNR;GNB4;PRKAB1;MEF2D;TGFBR1;GNAI1
23,KEGG_2019_Mouse,Hypertrophic cardiomyopathy (HCM),6/86,0.0111504286172027,0.1110396849796441,0,0,3.406468531468532,15.316427270224665,TPM3;ATP2A2;ITGAV;ITGA6;PRKAB1;ACTB
24,KEGG_2019_Mouse,Thyroid hormone signaling pathway,7/115,0.0129016945617814,0.1173143514231334,0,0,2.9464996538594668,12.818442119845976,RHEB;NCOA3;SLC2A1;ATP2A2;ITGAV;ACTB;MED12L
25,KEGG_2019_Mouse,Fluid shear stress and atherosclerosis,8/143,0.013090733493711,0.1173143514231334,0,0,2.69650446699627,11.691640689015022,KDR;ITGAV;RAC1;ARHGEF2;ACTB;ASS1;GSTM5;NFE2L2
26,KEGG_2019_Mouse,Proteoglycans in cancer,10/203,0.0136895898930046,0.1173143514231334,0,0,2.36171898811338,10.134418632060726,CDC42;RPS6;KDR;ITGAV;PTPN11;RAC1;HSPG2;ACTB;CD44;VAV2
27,KEGG_2019_Mouse,GABAergic synapse,6/90,0.0137439407525009,0.1173143514231334,0,0,3.243589743589744,13.905779202673385,SLC32A1;GABRA4;GNB1;GNB4;GAD2;GNAI1
28,KEGG_2019_Mouse,Renal cell carcinoma,5/68,0.0161740812093887,0.1332967382428936,0,0,3.599483204134367,14.84551143144484,CDC42;SLC2A1;RAPGEF1;PTPN11;RAC1
29,KEGG_2019_Mouse,Human T-cell leukemia virus 1 infection,11/245,0.0187736642750674,0.1495635253913703,0,0,2.143212788259958,8.51991428510959,CDC20;ATF2;CCNE2;SLC2A1;E2F1;E2F2;TLN1;B2M;ANAPC1;TGFBR1;JAK1
30,KEGG_2019_Mouse,Arrhythmogenic right ventricular cardiomyopathy (ARVC),5/72,0.0202464386877874,0.1512155889494124,0,0,3.383894481082957,13.19643172969401,LEF1;ATP2A2;ITGAV;ITGA6;ACTB
31,KEGG_2019_Mouse,B cell receptor signaling pathway,5/72,0.0202464386877874,0.1512155889494124,0,0,3.383894481082957,13.19643172969401,VAV3;DAPP1;RAC1;BCL10;VAV2
32,KEGG_2019_Mouse,Choline metabolism in cancer,6/99,0.0210591068788877,0.1525189861834596,0,0,2.9283404767275734,11.30463053159366,RHEB;TSC1;RAC1;PLPP3;DGKZ;WASF2
33,KEGG_2019_Mouse,Bacterial invasion of epithelial cells,5/74,0.022512636527657,0.1528196447453545,0,0,3.285473542298618,12.46403035278624,CDC42;CLTA;RAC1;WASF2;ACTB
34,KEGG_2019_Mouse,Cysteine and methionine metabolism,4/50,0.0231496209517102,0.1528196447453545,0,0,3.9380611318470695,14.82985953146262,MTAP;DNMT3B;GCLM;SRM
35,KEGG_2019_Mouse,Cushing syndrome,8/159,0.023236609281928,0.1528196447453545,0,0,2.4087969353412846,9.061957320298372,HSD3B6;ATF2;CDK6;CCNE2;LEF1;E2F1;E2F2;GNAI1
36,KEGG_2019_Mouse,Autophagy,7/130,0.0236787622969573,0.1528196447453545,0,0,2.585175898487957,9.676770287368477,SH3GLB1;STX17;RHEB;RRAGD;TSC1;PRKCQ;HMGB1
37,KEGG_2019_Mouse,Fatty acid elongation,3/29,0.0245637023130888,0.1528196447453545,0,0,5.21875,19.343220897396208,ACOT7;ELOVL6;HSD17B12
38,KEGG_2019_Mouse,Chronic myeloid leukemia,5/76,0.0249370968412921,0.1528196447453545,0,0,3.192597445135932,11.78515022214837,CDK6;E2F1;E2F2;PTPN11;TGFBR1
39,KEGG_2019_Mouse,HIF-1 signaling pathway,6/104,0.0260875710385058,0.1542167879586061,0,0,2.7782217782217784,10.130219744659192,FLT1;RPS6;SLC2A1;ENO1;TEK;EIF4E
40,KEGG_2019_Mouse,Hepatitis B,8/163,0.0264555996079617,0.1542167879586061,0,0,2.346150940545441,8.521894588242622,ATF2;PCNA;CCNE2;E2F1;E2F2;HSPG2;TGFBR1;JAK1
41,KEGG_2019_Mouse,Salmonella infection,5/78,0.0275230783315884,0.1566194219345153,0,0,3.104810449187639,11.154746931101904,CDC42;PKN2;RAC1;WASF2;ACTB
42,KEGG_2019_Mouse,Epstein-Barr virus infection,10/229,0.0287730769033673,0.1599247762768555,0,0,2.0785388127853883,7.375310777581878,PDIA3;CDK6;CCNE2;E2F1;E2F2;RAC1;VIM;B2M;CD44;JAK1
43,KEGG_2019_Mouse,Tight junction,8/167,0.0299725337402977,0.1628053537257082,0,0,2.286656945487753,8.02038946005502,CDC42;PRKCI;PCNA;RAC1;ARHGEF2;PRKAB1;MYL9;ACTB
44,KEGG_2019_Mouse,Biosynthesis of unsaturated fatty acids,3/32,0.0317957563898336,0.1688707950482274,0,0,4.67816091954023,16.13227511608383,ACOT7;ELOVL6;HSD17B12
45,KEGG_2019_Mouse,SNARE interactions in vesicular transport,3/33,0.0344270125581676,0.1788707826391755,0,0,4.5219907407407405,15.234196892225317,STX17;SNAP23;SEC22B
46,KEGG_2019_Mouse,MicroRNAs in cancer,11/281,0.0443257260172074,0.2220655187711099,0,0,1.853991963661775,5.777391305769786,ZEB2;CDK6;CCNE2;STMN1;DNMT3B;E2F1;E2F2;VIM;CD44;CDC25B;MCL1
47,KEGG_2019_Mouse,Phospholipase D signaling pathway,7/149,0.0445989326402229,0.2220655187711099,0,0,2.237083717256812,6.957431817059575,RHEB;GNA12;LPAR1;TSC1;PTPN11;PLPP3;DGKZ
48,KEGG_2019_Mouse,Dilated cardiomyopathy (DCM),5/90,0.0465688071817399,0.2225988983287169,0,0,2.6648426812585497,8.172604385865231,TPM3;ATP2A2;ITGAV;ITGA6;ACTB
49,KEGG_2019_Mouse,Progesterone-mediated oocyte maturation,5/90,0.0465688071817399,0.2225988983287169,0,0,2.6648426812585497,8.172604385865231,RPS6KA1;ANAPC1;GNAI1;CDC25B;AURKA
50,KEGG_2019_Mouse,Neurotrophin signaling pathway,6/121,0.0489021402812028,0.2280037872081718,0,0,2.3654606263301914,7.138804321719346,CDC42;RIPK2;RPS6KA1;RAPGEF1;PTPN11;RAC1
51,KEGG_2019_Mouse,Morphine addiction,5/92,0.0503468891425806,0.2280037872081718,0,0,2.603314621758888,7.7808347632492385,SLC32A1;GABRA4;GNB1;GNB4;GNAI1
52,KEGG_2019_Mouse,Glutathione metabolism,4/64,0.0505615092972096,0.2280037872081718,0,0,3.017014694508894,9.00447549018656,PGD;GCLM;SRM;GSTM5
53,KEGG_2019_Mouse,mTOR signaling pathway,7/154,0.051609309444551,0.228418980689772,0,0,2.160436137071651,6.403647660985037,CLIP1;RHEB;RPS6KA1;RPS6;RRAGD;TSC1;EIF4E
54,KEGG_2019_Mouse,Platelet activation,6/125,0.055625904278653,0.2391580068824509,0,0,2.2854792266556974,6.602992390958317,GUCY1A1;PRKCI;SNAP23;TLN1;ACTB;GNAI1
55,KEGG_2019_Mouse,AMPK signaling pathway,6/126,0.0573896920410293,0.2391580068824509,0,0,2.266317016317016,6.476886036248529,RAB2A;RAB14;RHEB;TSC1;HMGCR;PRKAB1
56,KEGG_2019_Mouse,MAPK signaling pathway,11/294,0.0576558412954791,0.2391580068824509,0,0,1.7676345089672645,5.043527404005351,CDC42;ATF2;FLT1;STMN1;RPS6KA1;GNA12;KDR;RAC1;TEK;TGFBR1;CDC25B
57,KEGG_2019_Mouse,Glycolysis / Gluconeogenesis,4/67,0.0580383447664525,0.2391580068824509,0,0,2.8729053879865947,8.178160059207489,PKLR;AKR1A1;PGM2;ENO1
58,KEGG_2019_Mouse,Porphyrin and chlorophyll metabolism,3/41,0.0593182185294795,0.2402890547211118,0,0,3.568530701754386,10.080523962811265,ALAD;UROD;GUSB
59,KEGG_2019_Mouse,Steroid biosynthesis,2/19,0.0632646231970721,0.2520040824016707,0,0,5.311234886564326,14.661286707388811,DHCR24;CYP51
60,KEGG_2019_Mouse,Basal transcription factors,3/43,0.0665608435162791,0.2595754919327649,0,0,3.3897569444444446,9.185016971535292,GTF2IRD1;TAF4;GTF2I
61,KEGG_2019_Mouse,Spliceosome,6/132,0.0686710051715701,0.2595754919327649,0,0,2.157731157731157,5.779328021335313,PRPF38B;HNRNPA3;PRPF40A;SNRPB2;SRSF6;BCAS2
62,KEGG_2019_Mouse,Adipocytokine signaling pathway,4/71,0.0688722760417648,0.2595754919327649,0,0,2.700834574228625,7.226087120955816,SLC2A1;PRKCQ;PTPN11;PRKAB1
63,KEGG_2019_Mouse,T cell receptor signaling pathway,5/101,0.0695097551619119,0.2595754919327649,0,0,2.3581637596899223,6.287544145333814,VAV3;CDC42;PRKCQ;BCL10;VAV2
64,KEGG_2019_Mouse,Longevity regulating pathway,5/102,0.0718561659952668,0.2641071722644793,0,0,2.333732917765524,6.14492613054928,ATF2;RHEB;TSC1;PRKAB1;EIF4E
65,KEGG_2019_Mouse,RNA transport,7/167,0.0729333613784754,0.2641071722644793,0,0,1.9835718457943925,5.193405882098743,FXR1;POM121;NUP188;NMD3;EIF4G3;EIF4E;SRRM1
66,KEGG_2019_Mouse,Thyroid hormone synthesis,4/73,0.0746527777845226,0.2662987147835956,0,0,2.622280507078248,6.804575472692955,ATF2;HSPA5;TTF2;TTF1
67,KEGG_2019_Mouse,Mismatch repair,2/22,0.0819341443862336,0.2879744192398507,0,0,4.513856812933025,11.29294514388347,PCNA;RPA2
68,KEGG_2019_Mouse,Terpenoid backbone biosynthesis,2/23,0.0884898654216843,0.3065083744316311,0,0,4.29869130100077,10.423755747358278,ICMT;HMGCR
69,KEGG_2019_Mouse,Human papillomavirus infection,12/360,0.095743496237639,0.326895651439939,0,0,1.566560691285563,3.67528074463984,CDC42;LAMA5;PRKCI;RELN;CDK6;CCNE2;RHEB;E2F1;TSC1;ITGAV;ITGA6;JAK1
70,KEGG_2019_Mouse,Oocyte meiosis,5/116,0.1091152928576182,0.3673035914502923,0,0,2.037921642572805,4.514710165573337,CDC20;CCNE2;RPS6KA1;ANAPC1;AURKA
71,KEGG_2019_Mouse,VEGF signaling pathway,3/58,0.1320136198602516,0.4375392238414901,0,0,2.4633838383838382,4.98798321092312,CDC42;KDR;RAC1
