,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2019_Mouse,Cell cycle,6/123,0.0006071158972525846,0.0707853370140902,0,0,6.240899018676797,46.22503375112989,CDKN1C;WEE1;TGFB1;CCNE1;PLK1;BUB3
1,KEGG_2019_Mouse,FoxO signaling pathway,6/132,0.0008793209566967735,0.0707853370140902,0,0,5.792475014697237,40.75794290315221,TGFB1;HOMER2;PRMT1;PLK1;IRS2;IGF1R
2,KEGG_2019_Mouse,Melanoma,4/72,0.0031705218897466,0.1701513414164012,0,0,7.088952654232425,40.78883453099319,FGF15;BAX;FGF3;IGF1R
3,KEGG_2019_Mouse,Protein digestion and absorption,4/90,0.0070106615964748,0.2356015211687694,0,0,5.600113442994895,27.778372653150257,COL4A1;PRCP;SLC1A5;KCNN4
4,KEGG_2019_Mouse,Malaria,3/49,0.008082591030512,0.2356015211687694,0,0,7.820553359683794,37.67976069527851,TGFB1;HBB-BT;HBB-BS
5,KEGG_2019_Mouse,Gastric cancer,5/150,0.0087801809131218,0.2356015211687694,0,0,4.164797969113603,19.721394011165405,FGF15;TGFB1;CCNE1;BAX;FGF3
6,KEGG_2019_Mouse,Longevity regulating pathway,4/102,0.0107938390105798,0.2482582972433376,0,0,4.911398705823793,22.24264309942673,AKT1S1;BAX;IRS2;IGF1R
7,KEGG_2019_Mouse,Glycolysis / Gluconeogenesis,3/67,0.0188392764340509,0.3236552827480635,0,0,5.615909090909091,22.30533184077871,GPI1;LDHA;ALDOA
8,KEGG_2019_Mouse,AMPK signaling pathway,4/126,0.0218053544816553,0.3236552827480635,0,0,3.9404238304678127,15.074484306151293,AKT1S1;IRS2;ELAVL1;IGF1R
9,KEGG_2019_Mouse,Mucin type O-glycan biosynthesis,2/28,0.0229793625233502,0.3236552827480635,0,0,9.177942539388322,34.62983417603648,GALNT7;GALNT18
10,KEGG_2019_Mouse,Protein export,2/28,0.0229793625233502,0.3236552827480635,0,0,9.177942539388322,34.62983417603648,SPCS3;SPCS2
11,KEGG_2019_Mouse,Autophagy,4/130,0.0241233751116569,0.3236552827480635,0,0,3.8145567169957415,14.207598719715463,AKT1S1;RRAS2;IRS2;IGF1R
12,KEGG_2019_Mouse,Chronic myeloid leukemia,3/76,0.0261838220568212,0.3242765654729403,0,0,4.921295143212952,17.92637631159067,TGFB1;CTBP2;BAX
13,KEGG_2019_Mouse,Pentose phosphate pathway,2/32,0.0295030027795832,0.3392845319652073,0,0,7.952610441767068,28.01913996533733,GPI1;ALDOA
14,KEGG_2019_Mouse,Breast cancer,4/147,0.0355974333627056,0.3419925844282502,0,0,3.3581784069588947,11.201142757002032,FGF15;BAX;FGF3;IGF1R
15,KEGG_2019_Mouse,Regulation of actin cytoskeleton,5/217,0.0365220661544101,0.3419925844282502,0,0,2.838870239611066,9.3962024382373,CYFIP1;FGF15;RRAS2;IQGAP1;FGF3
16,KEGG_2019_Mouse,African trypanosomiasis,2/39,0.0424334557041263,0.3419925844282502,0,0,6.445783132530121,20.367502715255565,HBB-BT;HBB-BS
17,KEGG_2019_Mouse,Small cell lung cancer,3/92,0.042487552392851,0.3419925844282502,0,0,4.033299284984678,12.739353784449069,COL4A1;CCNE1;BAX
18,KEGG_2019_Mouse,Hippo signaling pathway,4/159,0.0453063507105872,0.3419925844282502,0,0,3.0963021243115656,9.580912631938162,SMAD1;TGFB1;TEAD1;TEAD2
19,KEGG_2019_Mouse,Porphyrin and chlorophyll metabolism,2/41,0.0464522022622377,0.3419925844282502,0,0,6.114612295335187,18.76777153761396,UROS;BLVRB
20,KEGG_2019_Mouse,Ras signaling pathway,5/233,0.0471020289403972,0.3419925844282502,0,0,2.6374986546119903,8.05871678346017,FGF15;RASA3;RRAS2;FGF3;IGF1R
21,KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,3/101,0.0534319440864168,0.3419925844282502,0,0,3.6612244897959183,10.724995174199153,TGFB1;COL4A1;BAX
22,KEGG_2019_Mouse,Glucagon signaling pathway,3/102,0.0547240094104417,0.3419925844282502,0,0,3.624058769513315,10.529531470795076,LDHA;PPP4C;PRMT1
23,KEGG_2019_Mouse,Ribosome,4/170,0.055380979887281,0.3419925844282502,0,0,2.8895092565383487,8.360850129546497,RPS17;RPS15A;RPL18A;UBA52
24,KEGG_2019_Mouse,Human T-cell leukemia virus 1 infection,5/245,0.0561162435820733,0.3419925844282502,0,0,2.5040899795501024,7.212605394256307,TGFB1;CCNE1;BAX;BUB3;SLC25A4
